x[nm],y[nm],z[nm]],intensity,frame,sigma
1560.63,2218.31,0,889.965,301,0
2387.81,462.906,0,1414.31,323,0
2076.32,307.203,0,2258.13,326,0
2063.21,321.829,0,2510.62,327,0
431.61,2783.75,0,1480.34,393,0
2505.48,916.99,0,1057.01,436,0
1479.76,444.686,0,701.998,439,0
803.16,2338.67,0,1241.02,532,0
671.68,2203.05,0,871.163,534,0
587.67,2294.31,0,1186.03,535,0
682.75,2497.26,0,697.221,536,0
432.41,2275.63,0,1078.36,543,0
1632.83,2255.35,0,896.137,588,0
1649.64,2230.88,0,1352.95,589,0
1575.84,2211.78,0,1439.31,613,0
1603.01,2289.07,0,2172.46,617,0
1574.72,2244.53,0,1627.06,618,0
857.56,610.896,0,1616.66,688,0
2006.54,1634.22,0,955.008,873,0
2021.81,1701.23,0,1383.23,878,0
1954.07,1660.52,0,833.685,940,0
2013.12,1707.32,0,1135.55,966,0
2025.19,1653.37,0,1012.53,970,0
2039.33,1613.16,0,663.874,1234,0
2082.45,1587,0,1019.69,1235,0
1978.79,1567.1,0,646.026,1236,0
1926.75,1625.16,0,1563.84,1237,0
1982.79,1549.54,0,1559.97,1238,0
2252.53,735.722,0,1599.17,1314,0
2254.06,723.635,0,1395.84,1315,0
2255.71,700.456,0,2356.12,1316,0
2197.05,676.125,0,1665.9,1317,0
2139.22,689.455,0,1632.08,1318,0
2103.4,724.497,0,2195.92,1319,0
2097.5,911.31,0,1514.87,1320,0
2067.48,896.9,0,2252.79,1321,0
2035.6,808.275,0,1768.72,1322,0
2047.82,828.41,0,2047.48,1323,0
1874.43,817.924,0,1360.02,1324,0
1660.73,736.718,0,2036.14,1325,0
1635.28,724.252,0,1713.05,1326,0
1578.86,611.104,0,2281.83,1327,0
1607.65,758.449,0,1402.76,1328,0
1546.52,858.26,0,1494.65,1329,0
1523.22,891.82,0,1885.46,1330,0
1467.09,921.87,0,1794.3,1331,0
1641.51,976.56,0,1194.8,1332,0
1543.81,1012.16,0,2109.39,1333,0
1583.24,1097.67,0,2047.64,1334,0
1545.84,1085.19,0,2418.97,1335,0
1608.89,1051.17,0,1191.77,1336,0
1596.66,1054.19,0,1663.78,1337,0
1545.18,915.42,0,1579.23,1338,0
1713.96,824.04,0,1660.84,1339,0
1701.52,851.6,0,1856.39,1340,0
1802.52,739.216,0,1803.93,1341,0
1855.9,557.677,0,1644.84,1342,0
1888.81,497.804,0,1316.11,1343,0
1962.35,551.42,0,1970.34,1344,0
1937.69,505.438,0,1148.05,1345,0
1831.38,439.56,0,775.969,1430,0
1864.11,465.872,0,1646.36,1431,0
1646.64,1327.89,0,1134.14,1438,0
1631.54,2216.46,0,885.189,1442,0
1629.48,2147.28,0,698.941,1443,0
1650.49,1309.42,0,2050.96,1509,0
1631.74,1323.59,0,1955.29,1510,0
1624.13,1265.13,0,2171.62,1511,0
1654.84,1301.06,0,1626.74,1512,0
1697.71,1325.9,0,1774.39,1513,0
1643.14,1280.72,0,1706.04,1514,0
1651.77,1273.67,0,1498.96,1515,0
1632.59,1300.86,0,1821.75,1516,0
1618.19,1313.3,0,1631.52,1517,0
1579.61,1349.01,0,1950.39,1518,0
1669.07,1295.91,0,1785.75,1520,0
1644.62,1300.07,0,2415.09,1521,0
1622.87,1307.73,0,2186.8,1522,0
1622.87,1299.19,0,1648.04,1523,0
2050.38,1663.63,0,755.675,1545,0
1974.72,1753.6,0,803.366,1548,0
2015.94,1653.47,0,785.802,1551,0
2043.1,1666.24,0,1019.72,1552,0
1970.3,1646.04,0,941.53,1553,0
2016.94,1659.87,0,1227.56,1554,0
1991.67,1656.33,0,1565.62,1555,0
2033.19,1754.07,0,885.469,1557,0
2014.27,1705.59,0,702.258,1558,0
1984.32,1657.83,0,804.221,1559,0
2067.53,1626.58,0,590.893,1561,0
2064.64,1798.81,0,625.564,1562,0
1974.51,1659.17,0,899.941,1564,0
2033.82,1673.68,0,1234.11,1565,0
2034.45,1656.57,0,1671.54,1566,0
38.76,1854.11,0,981.542,1566,0
2017.39,1677.42,0,948.289,1568,0
116.09,1185.73,0,837.94,1568,0
182.5,979.49,0,946.659,1569,0
2000.64,1659.06,0,594.222,1571,0
93.88,1768.07,0,735.38,1572,0
2029.4,1688.91,0,758.13,1574,0
2040.3,1673.98,0,680.569,1575,0
2040.27,1662.98,0,1576.13,1577,0
2023.13,1693.95,0,2735.3,1578,0
2020.87,1695.31,0,1180.76,1579,0
2016.21,1673.76,0,1789.1,1588,0
2008.3,1646.37,0,2099.02,1589,0
1984.04,1682.12,0,2555.94,1590,0
2018.43,1668.79,0,2015.36,1591,0
2022.53,1658.51,0,2616.42,1592,0
2008.45,1662.77,0,2080.58,1593,0
2007.74,1660.71,0,2034.61,1594,0
2006.75,1663.87,0,3197.85,1595,0
1999.24,1666.56,0,1518.36,1596,0
1637.96,1304.68,0,2027.66,1619,0
1660.59,1305.35,0,2214.8,1620,0
1668.98,1299.78,0,2219.98,1621,0
1660.31,1279.77,0,2346.71,1622,0
1621.55,1314.41,0,1178.34,1623,0
1644.33,1319.35,0,1531.21,1628,0
1639.04,1324.91,0,1968.12,1629,0
1674.9,1305.39,0,1994.15,1630,0
1677.01,1316.6,0,1159.85,1631,0
1635.36,1273.03,0,2199.2,1632,0
1663.09,1323.52,0,1993.12,1633,0
1654.27,1288.65,0,1632.51,1634,0
1625.87,1278.78,0,2538.18,1635,0
1652.3,1309.54,0,1850.46,1636,0
1641.16,1309.43,0,2347.07,1637,0
1672.18,1292.5,0,1793.73,1638,0
1644.97,1280.6,0,1743.65,1639,0
1633.74,1332.07,0,1700.53,1640,0
1607.84,1326.61,0,1805.3,1641,0
1608.93,1339.33,0,2055.21,1642,0
1667.27,1323.17,0,2159.61,1643,0
1604.55,1316.8,0,1956.78,1644,0
1635.8,1327.53,0,1833.84,1645,0
1654.16,1296.57,0,2090.72,1646,0
1628.98,1320.24,0,1514.67,1647,0
1638.48,1331.92,0,2305.43,1648,0
1639.79,1335.84,0,1621.69,1649,0
1633.85,1317.44,0,1325.05,1650,0
1658.92,2402.05,0,2969.58,1690,0
1663.11,2402.17,0,1237.38,1691,0
2057.83,1667.09,0,625.886,1691,0
1670.18,2460.34,0,2677.67,1692,0
1697.85,2406.51,0,2326.37,1693,0
1640.79,2417.63,0,1948.62,1694,0
1654.51,2420.97,0,1894.43,1695,0
1611.32,2456.56,0,1464.35,1696,0
1629.69,2453.14,0,1264.37,1697,0
1635.18,2425.39,0,2186.07,1698,0
1653.84,2420.96,0,1166.84,1699,0
1638.8,2437.44,0,1605.05,1700,0
1667.13,2462.96,0,2467.35,1701,0
1601.38,2431.46,0,2008.45,1702,0
1619.96,2445.05,0,1334.96,1703,0
