x[nm],y[nm],z[nm]],intensity,frame,sigma
3464.96,2224.41,-1.#INF,1386.06,2,0
1332.47,2054.84,-1.#INF,1420.62,2,0
2985.11,1221.76,-1.#INF,2500.29,2,0
2062.21,926.184,-1.#INF,3324.53,2,0
2055.04,954.006,-1.#INF,3142.97,3,0
3473.2,2234.25,-1.#INF,1690.28,3,0
1298.41,1874.23,-1.#INF,2699.87,3,0
2791.56,1137.45,-1.#INF,1551.72,3,0
1600.39,2436.68,-1.#INF,2252.84,3,0
1593.42,2550.5,-1.#INF,1285.14,4,0
2183.41,1040.14,-1.#INF,1664.27,4,0
3471.56,2255.21,-1.#INF,1163.81,4,0
1271.02,1843.8,-1.#INF,2668.66,4,0
2830.61,1233.77,-1.#INF,968.573,4,0
1969.99,1016.56,-1.#INF,2043.78,4,0
2585.33,1156.46,-1.#INF,1346.16,5,0
3497.22,2270.33,-1.#INF,1850.65,5,0
2232.96,975.129,-1.#INF,1805.62,5,0
1311.04,1879.03,-1.#INF,1999.47,5,0
1592.58,2358.76,-1.#INF,2033.73,5,0
1440.59,1967.48,-1.#INF,1285.57,6,0
2451.99,1168.64,-1.#INF,1988.08,6,0
2843.09,1244.81,-1.#INF,1625.77,6,0
2170.15,1033.46,-1.#INF,1695.35,6,0
1579.4,2004.57,-1.#INF,1197.59,6,0
2000.23,1024.03,-1.#INF,2398.14,6,0
1754.98,2078.58,-1.#INF,1367.18,7,0
3445.24,2265.53,-1.#INF,955.769,7,0
2838.24,1236.08,-1.#INF,1057.71,7,0
2253.27,949.244,-1.#INF,2193.34,7,0
2131.43,998.36,-1.#INF,2613.97,8,0
3488.1,2238.84,-1.#INF,1448.47,8,0
2683.38,1239.54,-1.#INF,1574.56,8,0
1676.44,2134.98,-1.#INF,2197.37,8,0
1563.03,2127.03,-1.#INF,1616.85,9,0
2184.05,983.985,-1.#INF,2279.01,9,0
3539.25,2264.07,-1.#INF,1630.49,9,0
2721.17,1226.96,-1.#INF,1540.75,9,0
3474.44,2291.51,-1.#INF,1765.62,10,0
1514.6,2081.64,-1.#INF,1667.62,10,0
2800.36,1158.64,-1.#INF,1277.46,10,0
2143.36,989.276,-1.#INF,2295.98,10,0
1776.15,1075.1,-1.#INF,2395.35,11,0
3467.35,2244.97,-1.#INF,1315.69,11,0
1385.52,2014.71,-1.#INF,1414.22,11,0
2884.8,1272.06,-1.#INF,1448.32,11,0
3524.42,2255.48,-1.#INF,1626.07,12,0
1429.64,2222.57,-1.#INF,1644.56,12,0
2713.89,1273,-1.#INF,1346.34,12,0
866.901,468.987,-1.#INF,902.843,12,0
3512,2231.99,-1.#INF,1613.72,13,0
2696.93,1235.04,-1.#INF,1178.88,13,0
1539.63,2257.91,-1.#INF,1338.15,13,0
852.87,520.782,-1.#INF,3384.42,13,0
2877.96,1260.36,-1.#INF,1003.95,13,0
2634.42,1394.24,-1.#INF,2374.96,14,0
892.933,530.24,-1.#INF,544.445,14,0
3505.12,2258.87,-1.#INF,1613.29,14,0
1577.45,2403.19,-1.#INF,1948.62,14,0
851.381,499.569,-1.#INF,2387.14,15,0
2842.02,1285.2,-1.#INF,1530.83,15,0
1844.64,832.184,-1.#INF,2085.64,15,0
1379.95,2529.66,-1.#INF,1475.44,15,0
2717.11,1320.23,-1.#INF,1375.59,15,0
3521.33,2252.49,-1.#INF,1302.69,15,0
2431.16,1107.52,-1.#INF,1710.22,16,0
1290.07,2579.35,-1.#INF,1175.15,16,0
3525.24,2190.36,-1.#INF,1439.25,16,0
863.68,538.395,-1.#INF,1964.8,16,0
1876.31,867.123,-1.#INF,2322.08,16,0
2892.39,1250.38,-1.#INF,1414.58,17,0
921.253,531.614,-1.#INF,1361.23,17,0
1870.15,834.696,-1.#INF,1542.98,17,0
2547.03,1372.19,-1.#INF,1681.63,17,0
1307.96,2520.1,-1.#INF,1979.66,17,0
3537.16,2261.42,-1.#INF,2201.42,17,0
2739.32,1256.02,-1.#INF,1200.83,18,0
1825.49,848.756,-1.#INF,3090.55,18,0
862.718,512.312,-1.#INF,2132.01,18,0
3577.43,2235.3,-1.#INF,2053.25,18,0
2899.92,1266.7,-1.#INF,1395.85,18,0
1452.78,2369,-1.#INF,1655.12,18,0
3529.91,2249.64,-1.#INF,1583.25,19,0
2853.54,1279.87,-1.#INF,1629.27,19,0
873.04,511.249,-1.#INF,2336.6,19,0
1565.91,2497.91,-1.#INF,1169.56,19,0
1863.8,844.078,-1.#INF,2502.32,19,0
3514.77,2209.5,-1.#INF,1456.82,20,0
2591.4,1367.43,-1.#INF,2798.94,20,0
830.739,523.11,-1.#INF,2048.44,20,0
1678.8,2410.23,-1.#INF,1249.06,20,0
1873.36,821.096,-1.#INF,1764.93,20,0
3498.34,2212.52,-1.#INF,1162.65,21,0
2055.17,846.148,-1.#INF,1337.77,21,0
2896.96,1285.25,-1.#INF,1428.73,21,0
1659.62,2279.1,-1.#INF,2212.13,21,0
833.07,510.14,-1.#INF,973.13,21,0
2719.68,1329.46,-1.#INF,1236.87,21,0
2713.78,1245.67,-1.#INF,1303.28,22,0
1850.23,905.915,-1.#INF,2170.04,22,0
3510.08,2236.42,-1.#INF,1341.87,22,0
1570.45,2306.71,-1.#INF,1780.74,22,0
1540.42,2216.07,-1.#INF,2327.65,23,0
3530.82,2284.36,-1.#INF,1189.35,23,0
2839.43,1224.71,-1.#INF,1122.73,23,0
1802.24,999.27,-1.#INF,2798.55,23,0
1820.8,957.696,-1.#INF,2967.86,24,0
3492.2,2215.26,-1.#INF,1135.48,24,0
1498.69,2274.02,-1.#INF,1208.36,24,0
2562.68,1282.97,-1.#INF,1465.92,24,0
1454.12,2316.86,-1.#INF,1197.31,25,0
1839.14,928.406,-1.#INF,3403.97,25,0
3519.96,2215.08,-1.#INF,2011.99,25,0
2640.66,1274.28,-1.#INF,1256.87,25,0
1631.01,2368.94,-1.#INF,1410.2,26,0
3549.8,2243.02,-1.#INF,1351.33,26,0
1845.6,914.244,-1.#INF,3618.39,26,0
2699.83,1299.42,-1.#INF,1478.35,26,0
2852.64,1290.74,-1.#INF,1705.58,26,0
3534.98,2250.82,-1.#INF,1401.28,27,0
2635.33,1259.93,-1.#INF,1543.65,27,0
1851.16,2214.76,-1.#INF,1164.25,27,0
1822.66,984.702,-1.#INF,3482.93,27,0
3541.01,2233.58,-1.#INF,976.582,28,0
1686.63,2324.65,-1.#INF,1170.86,28,0
1826.45,915.988,-1.#INF,3121.4,28,0
2603.89,1363.86,-1.#INF,2340.61,28,0
1398.32,2316.66,-1.#INF,1176.25,29,0
3541.43,2242.39,-1.#INF,1274.77,29,0
2492.32,1191.87,-1.#INF,1963.52,29,0
1853.27,900.388,-1.#INF,2883.76,29,0
3526.92,2245.19,-1.#INF,2011.12,30,0
1387.74,2301.64,-1.#INF,1080.21,30,0
1852.93,893.294,-1.#INF,3189.5,30,0
2482.52,1124.01,-1.#INF,2019.97,30,0
1157.3,2186.41,-1.#INF,1672.2,31,0
1836.93,949.035,-1.#INF,2590.68,31,0
3537.91,2246.01,-1.#INF,1690.92,31,0
2461.89,1043.08,-1.#INF,2979.01,31,0
1821.24,962.256,-1.#INF,3027.89,32,0
3496.66,2277.85,-1.#INF,1492.89,32,0
1088.62,2206.57,-1.#INF,1655.86,32,0
2336.29,1003.17,-1.#INF,1455.41,32,0
2833.25,1095.83,-1.#INF,1228.63,32,0
3531.04,2228.55,-1.#INF,1435.87,33,0
1054.09,2277.77,-1.#INF,1230.8,33,0
2334,1034.62,-1.#INF,1801.3,33,0
2897.36,1138.78,-1.#INF,1230.62,33,0
1870.98,986.542,-1.#INF,2212.93,33,0
895.605,1978.36,-1.#INF,1487.16,34,0
2936.74,1173.6,-1.#INF,1041.53,34,0
3564.47,2251.19,-1.#INF,2301.71,34,0
1836.98,1052.54,-1.#INF,2017.95,34,0
2411.35,1064.12,-1.#INF,2208.2,34,0
2300.66,1049.54,-1.#INF,1283.31,35,0
941.84,1951.61,-1.#INF,1961.13,35,0
3083.7,1246.32,-1.#INF,2055.92,35,0
3554.44,2223.35,-1.#INF,1162.34,35,0
1818.85,1056.2,-1.#INF,2651.29,35,0
967.619,1952.22,-1.#INF,1743.9,36,0
2328.98,1064.32,-1.#INF,1580.03,36,0
1811.3,1054.19,-1.#INF,2157.13,36,0
3504.6,2205.42,-1.#INF,1086.39,36,0
2881.6,1138.65,-1.#INF,1516.57,37,0
2450.85,1035.86,-1.#INF,2618.4,37,0
1787.94,1061.93,-1.#INF,1872.14,37,0
3500.98,2249.75,-1.#INF,1395.83,37,0
926.426,1911.03,-1.#INF,2353.18,37,0
2858.6,1170.65,-1.#INF,1140.33,38,0
3517.62,2259.21,-1.#INF,1508.13,38,0
935.982,1840.76,-1.#INF,2016.98,38,0
1754.64,1077.61,-1.#INF,1643.1,38,0
2460.72,1040.44,-1.#INF,2802.93,38,0
2821.38,1148.26,-1.#INF,909.674,39,0
2221.49,1055.58,-1.#INF,790.089,39,0
1795.33,1064.95,-1.#INF,2128.17,39,0
3516.12,2218.23,-1.#INF,1218.44,39,0
914.814,1858.52,-1.#INF,2308.99,39,0
3539.36,2224.25,-1.#INF,1315.97,40,0
907.33,1847.56,-1.#INF,1493.9,40,0
2877.78,1145.92,-1.#INF,1546.15,40,0
1774.63,1046.59,-1.#INF,2668.47,40,0
2460.72,1047.43,-1.#INF,2439.37,40,0
2427.25,1034.01,-1.#INF,2242.77,41,0
2883.96,1165.06,-1.#INF,1259.46,41,0
3529.41,2224.63,-1.#INF,1142.64,41,0
897.085,1799.99,-1.#INF,1348.02,41,0
2500.31,1037.21,-1.#INF,841.931,42,0
2907.2,1154.17,-1.#INF,854.822,42,0
3531.35,2213.75,-1.#INF,1320.01,42,0
846.341,1717.69,-1.#INF,2011.01,42,0
2545.38,979.536,-1.#INF,994.244,43,0
772.112,1592.74,-1.#INF,1879.72,43,0
3488.26,2190.12,-1.#INF,856.392,43,0
3051.88,1189.61,-1.#INF,2282.66,43,0
3508.39,2242.47,-1.#INF,1725.13,44,0
585.314,1571.81,-1.#INF,1608.4,44,0
2447.09,1065.85,-1.#INF,2526.69,44,0
2454.58,1017.29,-1.#INF,2458.99,45,0
880.888,478.852,-1.#INF,2249.56,45,0
587.862,1589.52,-1.#INF,1149.97,45,0
3467.11,2277.7,-1.#INF,1491.96,45,0
2459.59,995.03,-1.#INF,1343.09,46,0
851.39,472.27,-1.#INF,2249.54,46,0
790.707,1639.56,-1.#INF,1917.98,46,0
3515.78,2269.42,-1.#INF,1799.52,46,0
2478.45,912.988,-1.#INF,1393.17,47,0
935.338,1757.9,-1.#INF,1532.58,47,0
871.947,514.465,-1.#INF,2357.17,47,0
3506.24,2272.1,-1.#INF,1375.15,47,0
888.912,1724.89,-1.#INF,1634.37,48,0
867.493,503.449,-1.#INF,2766.77,48,0
3495.12,2266.09,-1.#INF,1007.62,48,0
2389.46,966.66,-1.#INF,755.567,48,0
771.95,1789.27,-1.#INF,1688.21,49,0
3507.89,2213.56,-1.#INF,1323.23,49,0
861.742,521.16,-1.#INF,2040.77,49,0
891.299,554.876,-1.#INF,2430.59,50,0
713.853,1765.45,-1.#INF,1687.89,50,0
