x[nm],y[nm],z[nm]],intensity,frame,sigma
641.743,1794.98,0,1958.01,1,22.9751
1317.06,944.182,0,628.379,1,28.9444
1064.67,1953,0,366.591,1,33.4393
1769.22,1187.6,0,668.175,1,27.2611
397.961,1172.52,0,1920.9,1,20.8267
221.809,187.384,0,572.408,1,33.3906
251.045,1278.66,0,1743.53,1,12.1228
239.57,1129.73,0,789.212,1,27.7326
425.611,1785.03,0,1165.75,1,13.8148
1524.77,1178.01,0,923.92,1,16.9324
1620.35,1030.49,0,1700.31,1,38.6923
756.737,205.206,0,2077.03,1,27.2472
1482.28,1273.6,0,1254.07,1,42.7953
559.832,1140.29,0,526.814,1,25.3965
1819.82,305.49,0,2119.76,1,16.8321
912.748,989.532,0,637.901,1,33.7297
1786.74,1146.03,0,1601.8,1,38.8309
311.777,596.698,0,927.4,1,38.8057
852.626,383.496,0,1981.51,1,35.766
1000.95,203.925,0,1678.7,1,28.4867
370.434,721.824,0,1152.38,1,17.4693
1580.13,875.576,0,604.636,1,40.5467
1554.25,297.311,0,919.77,1,28.8841
1305.34,848.231,0,2082.53,1,33.7943
679.342,327.403,0,897.736,1,29.8743
1392.86,868.862,0,658.104,1,24.6929
1318.7,1653.61,0,410.416,1,20.0272
1639.33,1583.67,0,2099.01,1,17.3111
425.123,1741.87,0,1059,1,24.7754
1671.07,1040.25,0,515.155,1,21.0249
75.6249,702.414,0,898.773,1,23.3214
1134.92,1365.58,0,1209.33,1,34.7684
1686.94,1891.66,0,1740.17,1,29.844
142.644,682.516,0,1220.38,1,10.2258
516.739,1658.25,0,2181.89,1,9.80454
281.93,1326.46,0,2230.42,1,16.3788
1262.86,1796.62,0,866.668,1,11.4061
1506.45,425.794,0,869.17,1,19.6399
571.978,1269.81,0,1356.98,1,22.9889
1216.83,1908.38,0,719.019,1,16.2724
1271.58,764.611,0,2222.06,1,9.35863
846.217,1995.24,0,1749.08,1,42.4708
136.54,640.645,0,1648.92,1,31.172
261.727,1246.19,0,1740.11,1,25.9846
3.90637,1837.34,0,1394.15,1,34.2645
1294.96,1218.48,0,1749.57,1,31.358
47.3647,299.387,0,428.849,1,18.2879
713.889,800.256,0,1059.79,1,36.1102
1024.45,485.366,0,444.597,1,32.4311
1948.73,284.005,0,1604.97,1,9.49172
1309.37,519.913,0,1737.18,1,27.1156
1884.21,239.082,0,827.787,1,14.0685
522.843,553.545,0,1112.83,1,16.1034
30.6406,1248.76,0,531.208,1,15.4472
572.466,891.812,0,1622.31,1,38.6931
386.67,1572.25,0,809.72,1,24.0938
915.616,1456.4,0,1368.51,1,11.9085
1305.34,795.679,0,1819.94,1,8.64469
1857.72,1140.72,0,1608.88,1,27.5854
1677.42,533.158,0,1233.32,1,16.1056
697.714,623.066,0,1123.21,1,15.7413
742.576,241.829,0,951.753,1,29.6253
534.257,1198.52,0,607.26,1,34.2302
1843.44,1212.07,0,309.949,1,36.7371
543.962,1193.27,0,1915.71,1,34.9452
1431.68,796.289,0,1792.23,1,53.027
1545.58,523.698,0,576.803,1,6.69347
1642.14,1938.6,0,494.83,1,21.2519
1660.76,962.004,0,381.484,1,20.7975
1745.11,67.5069,0,1431.63,1,25.0128
1886.23,671.712,0,2255.57,1,53.0138
790.002,414.686,0,547.444,1,31.6151
387.402,575.091,0,320.753,1,33.517
753.136,1821.65,0,1232.04,1,19.849
1328.29,1115.21,0,2268.69,1,44.6193
501.846,97.4151,0,1456.16,1,5.73165
1047.94,974.639,0,1176.13,1,14.1919
1887.57,989.898,0,644.31,1,28.1903
1398.11,314.341,0,1929.02,1,5.53103
279.916,1831.97,0,1287.64,1,20.7618
1052.64,93.997,0,1732.84,1,12.8158
855.617,1926.88,0,1356.43,1,18.0626
602.68,37.2326,0,1040.56,1,37.9103
952.727,733.909,0,1025.06,1,46.0046
249.336,803.613,0,854.46,1,17.7741
1804.5,1917.78,0,336.927,1,26.4864
1906.31,930.265,0,1019.26,1,20.9328
1964.42,322.825,0,457.231,1,9.93603
525.285,105.655,0,2066.59,1,22.53
1735.04,1936.77,0,1335.07,1,27.593
456.923,1337.93,0,641.746,1,52.2879
913.48,1904.35,0,2180.73,1,24.0536
1658.68,1579.94,0,1799.31,1,21.108
1165.75,654.378,0,1400.5,1,44.6102
1563.28,1373.94,0,736.537,1,39.9339
1342.2,1203.28,0,777.432,1,33.6796
1420.03,1078.77,0,2104.32,1,5.41274
1047.33,1695.67,0,1985.17,1,36.2606
